age,gender,marital_status,education,monthly_salary,employment_type,years_of_employment,company_type,house_type,monthly_rent,family_size,dependents,school_fees,college_fees,travel_expenses,groceries_utilities,other_monthly_expenses,existing_loans,current_emi_amount,credit_score,bank_balance,emergency_fund,emi_scenario,requested_amount,requested_tenure,emi_eligibility,max_monthly_emi,total_expenses,disposable_income,expense_to_income_ratio,foir,emi_burden_ratio,savings_to_income_ratio,emergency_fund_buffer_months,loan_to_income_ratio,requested_monthly_installment_estimate,per_capita_disposable_income,affordability_index,credit_risk_tier,employment_stability_score,financial_health_score
27.0,Female,Single,Post Graduate,23400.0,Private,0.5,Mid-size,Own,0.0,1,0,0.0,0.0,2400.0,5900.0,2400.0,No,0.0,759.0,30000.0,10600.0,Personal Loan EMI,558000.0,17,Not_Eligible,4876.8,10700.0,12700.0,0.45726495724541605,0.0,0.0,1.735042734968588,0.9906542055148921,1.9871794871724102,32823.52748096897,12700.0,0.38691758547208316,Excellent,Probation/Junior,89.95327102757446
32.0,Male,Married,Graduate,36700.0,Government,1.3,Mid-size,Rented,8100.0,4,3,0.0,0.0,3700.0,5500.0,5300.0,No,0.0,657.0,184000.0,65300.0,E-commerce Shopping EMI,167000.0,6,Not_Eligible,7050.0,22600.0,14100.0,0.6158038146971171,0.22070844686047117,0.0,6.792915531150057,2.8893805308456026,0.3792007266113097,27833.328694445216,3525.0,0.5065869107602424,Fair,Moderate,98.18259747845865
38.0,Male,Married,Graduate,84300.0,Private,0.5,Large Indian,Rented,25200.0,3,2,6700.0,11000.0,9000.0,23600.0,8900.0,Yes,21600.0,656.0,56300.0,18100.0,E-commerce Shopping EMI,96000.0,17,Not_Eligible,500.0,84400.0,-21700.0,1.001186239608527,0.5551601423421689,0.256227758004078,0.8825622775696019,0.1707547169795212,0.0948991696321719,5647.0584913495,-7233.333333333333,-3.84270855869452,Fair,Probation/Junior,17.897664452263626
38.0,Male,Married,High School,17500.0,Private,5.6,MNC,Rented,2900.0,3,2,10600.0,0.0,2300.0,4700.0,1700.0,No,0.0,669.0,134500.0,68600.0,Home Appliances EMI,222000.0,23,Not_Eligible,500.0,22200.0,-4700.0,1.2685714284989387,0.16571428570481633,0.0,11.605714285051102,3.090090089950897,1.0571428571378232,9652.173493383762,-1566.6666666666667,-0.48693695805765963,Fair,Established,21.514285720084906
38.0,Male,Married,High School,45900.0,Private,1.4,Startup,Own,0.0,4,3,14200.0,20200.0,5700.0,12100.0,3100.0,No,0.0,536.0,179600.0,80400.0,Education EMI,196000.0,38,Not_Eligible,500.0,55300.0,-9400.0,1.2047930282961918,0.0,0.0,5.664488017305785,1.45388788424134,0.3558460421199059,5157.894601108037,-2350.0,-1.8224490271976883,Poor,Moderate,18.885997157511348
27.0,Female,Single,Post Graduate,67100.0,Government,0.5,Mid-size,Family,0.0,3,2,5800.0,19200.0,6800.0,14000.0,12900.0,No,0.0,760.0,454100.0,266100.0,E-commerce Shopping EMI,106000.0,14,Not_Eligible,5544.0,58700.0,8400.0,0.8748137108662473,0.0,0.0,10.733233978975662,4.533219761421921,0.13164431197201734,7571.428030612284,2800.0,1.109434041362905,Excellent,Probation/Junior,78.01490313070022
38.0,Male,Married,Graduate,72000.0,Self-employed,1.9,Mid-size,Own,0.0,5,4,10400.0,0.0,10000.0,20700.0,6100.0,No,0.0,770.0,196100.0,78700.0,Education EMI,467000.0,25,Not_Eligible,13392.0,47200.0,24800.0,0.6555555555464507,0.0,0.0,3.8166666666136577,1.6673728813206066,0.5405092592586337,18679.99925280003,4960.0,1.3276231793721829,Excellent,Moderate,88.89241996288696
38.0,Male,Married,Graduate,77900.0,Private,1.2,MNC,Family,0.0,3,2,0.0,0.0,6500.0,21900.0,8100.0,No,0.0,802.0,103500.0,58700.0,Personal Loan EMI,419000.0,44,Eligible,19872.0,36500.0,41400.0,0.46854942233031394,0.0,0.0,2.0821566110130663,1.608219178038131,0.4482242190838166,9522.72705630166,13800.0,4.347494131763031,Excellent,Moderate,93.04109589019066
48.0,Female,Married,High School,20800.0,Private,1.5,Large Indian,Family,0.0,3,2,3200.0,0.0,2400.0,4200.0,2700.0,Yes,3500.0,637.0,102800.0,25500.0,Personal Loan EMI,863000.0,24,Not_Eligible,1344.0,12500.0,4800.0,0.6009615384326461,0.1682692307611409,0.1682692307611409,6.16826923047268,1.5937499999003906,3.457532051268199,35958.331835069504,1600.0,0.13348783869848935,Poor,Moderate,92.89182692489027
32.0,Male,Married,Graduate,32800.0,Private,0.5,Large Indian,Own,0.0,4,3,12000.0,0.0,2200.0,9200.0,3800.0,Yes,4200.0,616.0,49800.0,28900.0,Home Appliances EMI,23000.0,23,Not_Eligible,500.0,27200.0,1400.0,0.8292682926576442,0.12804878048390095,0.12804878048390095,2.399390243829287,0.920382165575784,0.05843495934944503,999.999956521741,350.0,1.4000000594695652,Poor,Probation/Junior,71.26044741526738
48.0,Male,Married,High School,53700.0,Private,1.5,Mid-size,Own,0.0,4,3,6200.0,0.0,4100.0,10700.0,6900.0,No,0.0,687.0,133400.0,65200.0,Home Appliances EMI,104000.0,26,Eligible,12900.0,27900.0,25800.0,0.5195530726160232,0.0,0.0,3.6983240222774985,2.3369175626402536,0.16139044071979922,3999.999846153852,6450.0,6.450000246464423,Fair,Moderate,96.68458781320126
38.0,Female,Married,High School,65800.0,Government,1.1,Startup,Own,0.0,5,4,8300.0,0.0,7800.0,13200.0,11300.0,No,0.0,755.0,520800.0,74000.0,Education EMI,84000.0,13,Eligible,16632.0,40600.0,25200.0,0.6170212765863675,0.0,0.0,9.039513677674172,1.8226600984772743,0.10638297872326953,6461.53796449708,5040.0,3.900000299396428,Excellent,Moderate,92.75159836547697
